['n', 't', 'd']
[41537, 0.41537000000027463, 1.3537497519036332]
[41538, 0.41538000000027464, 1.3537090041066333]
[41539, 0.41539000000027465, 1.3536682553286332]
[41540, 0.41540000000027466, 1.3536275055696332]
[41541, 0.41541000000027467, 1.3535867548296332]
[41542, 0.4154200000002747, 1.3535460031086333]
[41543, 0.4154300000002747, 1.3535052504066332]
[41544, 0.4154400000002747, 1.3534644967236331]
[41545, 0.4154500000002747, 1.3534237420596331]
[41546, 0.4154600000002747, 1.3533829864146332]
[41547, 0.41547000000027473, 1.353342229788633]
[41548, 0.41548000000027474, 1.353301472181633]
[41549, 0.41549000000027475, 1.353260713593633]
[41550, 0.41550000000027476, 1.353219954024633]
[41551, 0.41551000000027477, 1.353179193474633]
[41552, 0.4155200000002748, 1.3531384319436328]
[41553, 0.4155300000002748, 1.3530976694316328]
[41554, 0.4155400000002748, 1.3530569059386328]
[41555, 0.4155500000002748, 1.353016141464633]
[41556, 0.4155600000002748, 1.3529753760096328]
[41557, 0.41557000000027483, 1.3529346095736328]
[41558, 0.41558000000027484, 1.3528938421566328]
[41559, 0.41559000000027485, 1.3528530737586328]
[41560, 0.41560000000027486, 1.3528123043796327]
[41561, 0.41561000000027487, 1.3527715340196327]
[41562, 0.4156200000002749, 1.3527307626786327]
[41563, 0.4156300000002749, 1.3526899903566327]
[41564, 0.4156400000002749, 1.3526492170536326]
[41565, 0.4156500000002749, 1.3526084427696325]
[41566, 0.4156600000002749, 1.3525676675046325]
[41567, 0.41567000000027493, 1.3525268912586326]
[41568, 0.41568000000027494, 1.3524861140316324]
[41569, 0.41569000000027495, 1.3524453358236324]
[41570, 0.41570000000027496, 1.3524045566346323]
[41571, 0.41571000000027497, 1.3523637764646324]
[41572, 0.415720000000275, 1.3523229953136324]
[41573, 0.415730000000275, 1.3522822131816323]
[41574, 0.415740000000275, 1.3522414300686323]
[41575, 0.415750000000275, 1.3522006459746323]
[41576, 0.415760000000275, 1.3521598608996324]
[41577, 0.41577000000027503, 1.3521190748436323]
[41578, 0.41578000000027504, 1.3520782878066322]
[41579, 0.41579000000027505, 1.3520374997886322]
[41580, 0.41580000000027506, 1.3519967107896322]
[41581, 0.41581000000027507, 1.3519559208096321]
[41582, 0.4158200000002751, 1.351915129848632]
[41583, 0.4158300000002751, 1.351874337906632]
[41584, 0.4158400000002751, 1.351833544983632]
[41585, 0.4158500000002751, 1.351792751079632]
[41586, 0.4158600000002751, 1.3517519561946318]
[41587, 0.41587000000027513, 1.3517111603286318]
[41588, 0.41588000000027514, 1.3516703634816318]
[41589, 0.41589000000027515, 1.351629565653632]
[41590, 0.41590000000027516, 1.3515887668446318]
[41591, 0.41591000000027517, 1.3515479670546318]
[41592, 0.4159200000002752, 1.3515071662836318]
[41593, 0.4159300000002752, 1.3514663645316318]
[41594, 0.4159400000002752, 1.3514255617986317]
[41595, 0.4159500000002752, 1.3513847580846317]
[41596, 0.4159600000002752, 1.3513439533896316]
[41597, 0.41597000000027523, 1.3513031477136317]
[41598, 0.41598000000027524, 1.3512623410566316]
[41599, 0.41599000000027525, 1.3512215334186315]
[41600, 0.41600000000027526, 1.3511807247996315]
[41601, 0.41601000000027527, 1.3511399151996315]
[41602, 0.4160200000002753, 1.3510991046186316]
[41603, 0.4160300000002753, 1.3510582930566315]
[41604, 0.4160400000002753, 1.3510174805136315]
[41605, 0.4160500000002753, 1.3509766669896315]
[41606, 0.4160600000002753, 1.3509358524846315]
[41607, 0.41607000000027533, 1.3508950369986314]
[41608, 0.41608000000027534, 1.3508542205316314]
[41609, 0.41609000000027535, 1.3508134030836314]
[41610, 0.41610000000027536, 1.3507725846546315]
[41611, 0.41611000000027537, 1.3507317652446313]
[41612, 0.4161200000002754, 1.3506909448536313]
[41613, 0.4161300000002754, 1.3506501234816313]
[41614, 0.4161400000002754, 1.3506093011286313]
[41615, 0.4161500000002754, 1.3505684777946312]
[41616, 0.4161600000002754, 1.350527653479631]
[41617, 0.41617000000027543, 1.350486828183631]
[41618, 0.41618000000027544, 1.350446001906631]
[41619, 0.41619000000027545, 1.3504051746486312]
[41620, 0.41620000000027546, 1.350364346409631]
[41621, 0.41621000000027547, 1.350323517189631]
[41622, 0.4162200000002755, 1.350282686988631]
[41623, 0.4162300000002755, 1.3502418558066311]
[41624, 0.4162400000002755, 1.350201023643631]
[41625, 0.4162500000002755, 1.350160190499631]
[41626, 0.4162600000002755, 1.350119356374631]
[41627, 0.41627000000027553, 1.350078521268631]
[41628, 0.41628000000027554, 1.350037685181631]
[41629, 0.41629000000027555, 1.3499968481136309]
[41630, 0.41630000000027556, 1.3499560100646308]
[41631, 0.41631000000027557, 1.3499151710346309]
[41632, 0.4163200000002756, 1.3498743310236307]
[41633, 0.4163300000002756, 1.3498334900316307]
[41634, 0.4163400000002756, 1.3497926480586306]
[41635, 0.4163500000002756, 1.3497518051046307]
[41636, 0.4163600000002756, 1.3497109611696307]
[41637, 0.41637000000027563, 1.3496701162536306]
[41638, 0.41638000000027564, 1.3496292703566306]
[41639, 0.41639000000027565, 1.3495884234786306]
[41640, 0.41640000000027566, 1.3495475756196307]
[41641, 0.41641000000027567, 1.3495067267796306]
[41642, 0.4164200000002757, 1.3494658769586305]
[41643, 0.4164300000002757, 1.3494250261566305]
[41644, 0.4164400000002757, 1.3493841743736306]
[41645, 0.4164500000002757, 1.3493433216096304]
[41646, 0.4164600000002757, 1.3493024678646304]
[41647, 0.41647000000027573, 1.3492616131386304]
[41648, 0.41648000000027574, 1.3492207574316304]
[41649, 0.41649000000027575, 1.3491799007436303]
[41650, 0.41650000000027576, 1.3491390430746302]
[41651, 0.41651000000027577, 1.3490981844246301]
[41652, 0.4165200000002758, 1.3490573247936302]
[41653, 0.4165300000002758, 1.3490164641816302]
[41654, 0.4165400000002758, 1.3489756025886301]
[41655, 0.4165500000002758, 1.34893474001463]
[41656, 0.4165600000002758, 1.34889387645963]
[41657, 0.41657000000027583, 1.3488530119236302]
[41658, 0.41658000000027584, 1.34881214640663]
[41659, 0.41659000000027585, 1.34877127990863]
[41660, 0.41660000000027586, 1.34873041242963]
[41661, 0.41661000000027587, 1.34868954396963]
[41662, 0.4166200000002759, 1.34864867452863]
[41663, 0.4166300000002759, 1.3486078041066298]
[41664, 0.4166400000002759, 1.3485669327036298]
[41665, 0.4166500000002759, 1.3485260603196298]
[41666, 0.4166600000002759, 1.3484851869546297]
[41667, 0.41667000000027593, 1.3484443126086296]
[41668, 0.41668000000027594, 1.3484034372816296]
[41669, 0.41669000000027595, 1.3483625609736296]
[41670, 0.41670000000027596, 1.3483216836846297]
[41671, 0.41671000000027597, 1.3482808054146296]
[41672, 0.416720000000276, 1.3482399261636295]
[41673, 0.416730000000276, 1.3481990459316295]
[41674, 0.416740000000276, 1.3481581647186296]
[41675, 0.416750000000276, 1.3481172825246295]
[41676, 0.416760000000276, 1.3480763993496294]
[41677, 0.41677000000027603, 1.3480355151936294]
[41678, 0.41678000000027604, 1.3479946300566295]
[41679, 0.41679000000027605, 1.3479537439386293]
[41680, 0.41680000000027606, 1.3479128568396292]
[41681, 0.41681000000027607, 1.3478719687596292]
[41682, 0.4168200000002761, 1.3478310796986293]
[41683, 0.4168300000002761, 1.3477901896566293]
[41684, 0.4168400000002761, 1.3477492986336292]
[41685, 0.4168500000002761, 1.3477084066296292]
[41686, 0.4168600000002761, 1.3476675136446292]
[41687, 0.41687000000027613, 1.3476266196786293]
[41688, 0.41688000000027614, 1.3475857247316292]
[41689, 0.41689000000027615, 1.3475448288036291]
[41690, 0.41690000000027616, 1.3475039318946291]
[41691, 0.41691000000027617, 1.3474630340046292]
[41692, 0.4169200000002762, 1.347422135133629]
[41693, 0.4169300000002762, 1.347381235281629]
[41694, 0.4169400000002762, 1.347340334448629]
[41695, 0.4169500000002762, 1.347299432634629]
[41696, 0.4169600000002762, 1.347258529839629]
[41697, 0.41697000000027623, 1.3472176260636288]
[41698, 0.41698000000027624, 1.3471767213066288]
[41699, 0.41699000000027625, 1.3471358155686288]
[41700, 0.41700000000027626, 1.347094908849629]
[41701, 0.41701000000027627, 1.3470540011496288]
[41702, 0.4170200000002763, 1.3470130924686288]
[41703, 0.4170300000002763, 1.3469721828066288]
[41704, 0.4170400000002763, 1.3469312721636288]
[41705, 0.4170500000002763, 1.3468903605396287]
[41706, 0.4170600000002763, 1.3468494479346287]
[41707, 0.41707000000027633, 1.3468085343486287]
[41708, 0.41708000000027634, 1.3467676197816287]
[41709, 0.41709000000027635, 1.3467267042336286]
[41710, 0.41710000000027636, 1.3466857877046285]
[41711, 0.41711000000027637, 1.3466448701946285]
[41712, 0.4171200000002764, 1.3466039517036286]
[41713, 0.4171300000002764, 1.3465630322316284]
[41714, 0.4171400000002764, 1.3465221117786284]
[41715, 0.4171500000002764, 1.3464811903446283]
[41716, 0.4171600000002764, 1.3464402679296283]
[41717, 0.41717000000027643, 1.3463993445336284]
[41718, 0.41718000000027644, 1.3463584201566283]
[41719, 0.41719000000027645, 1.3463174947986283]
[41720, 0.41720000000027646, 1.3462765684596283]
[41721, 0.41721000000027647, 1.3462356411396283]
[41722, 0.4172200000002765, 1.3461947128386282]
[41723, 0.4172300000002765, 1.3461537835566282]
[41724, 0.4172400000002765, 1.3461128532936282]
[41725, 0.4172500000002765, 1.3460719220496282]
[41726, 0.4172600000002765, 1.346030989824628]
[41727, 0.41727000000027653, 1.345990056618628]
[41728, 0.41728000000027654, 1.345949122431628]
[41729, 0.41729000000027655, 1.345908187263628]
[41730, 0.41730000000027656, 1.345867251114628]
[41731, 0.41731000000027657, 1.3458263139846278]
[41732, 0.4173200000002766, 1.3457853758736278]
[41733, 0.4173300000002766, 1.3457444367816278]
[41734, 0.4173400000002766, 1.3457034967086279]
[41735, 0.4173500000002766, 1.3456625556546278]
[41736, 0.4173600000002766, 1.3456216136196277]
[41737, 0.41737000000027663, 1.3455806706036277]
[41738, 0.41738000000027664, 1.3455397266066278]
[41739, 0.41739000000027665, 1.3454987816286277]
[41740, 0.41740000000027666, 1.3454578356696276]
[41741, 0.41741000000027667, 1.3454168887296276]
[41742, 0.4174200000002767, 1.3453759408086277]
[41743, 0.4174300000002767, 1.3453349919066275]
[41744, 0.4174400000002767, 1.3452940420236275]
[41745, 0.4174500000002767, 1.3452530911596274]
[41746, 0.4174600000002767, 1.3452121393146275]
[41747, 0.41747000000027673, 1.3451711864886275]
[41748, 0.41748000000027674, 1.3451302326816275]
[41749, 0.41749000000027675, 1.3450892778936274]
[41750, 0.41750000000027676, 1.3450483221246274]
[41751, 0.41751000000027677, 1.3450073653746275]
[41752, 0.4175200000002768, 1.3449664076436274]
[41753, 0.4175300000002768, 1.3449254489316274]
[41754, 0.4175400000002768, 1.3448844892386274]
[41755, 0.4175500000002768, 1.3448435285646274]
[41756, 0.4175600000002768, 1.3448025669096273]
[41757, 0.41757000000027683, 1.3447616042736272]
[41758, 0.41758000000027684, 1.3447206406566272]
[41759, 0.41759000000027685, 1.3446796760586273]
[41760, 0.41760000000027686, 1.3446387104796271]
[41761, 0.41761000000027687, 1.344597743919627]
[41762, 0.4176200000002769, 1.344556776378627]
[41763, 0.4176300000002769, 1.344515807856627]
[41764, 0.4176400000002769, 1.3444748383536271]
[41765, 0.4176500000002769, 1.344433867869627]
[41766, 0.4176600000002769, 1.344392896404627]
[41767, 0.41767000000027693, 1.344351923958627]
[41768, 0.41768000000027694, 1.344310950531627]
[41769, 0.41769000000027695, 1.344269976123627]
[41770, 0.41770000000027696, 1.344229000734627]
[41771, 0.41771000000027697, 1.344188024364627]
[41772, 0.417720000000277, 1.344147047013627]
[41773, 0.417730000000277, 1.3441060686816269]
[41774, 0.417740000000277, 1.3440650893686268]
[41775, 0.417750000000277, 1.3440241090746268]
[41776, 0.417760000000277, 1.3439831277996268]
[41777, 0.41777000000027703, 1.3439421455436267]
[41778, 0.41778000000027704, 1.3439011623066266]
[41779, 0.41779000000027705, 1.3438601780886266]
[41780, 0.41780000000027706, 1.3438191928896266]
[41781, 0.41781000000027707, 1.3437782067096267]
[41782, 0.4178200000002771, 1.3437372195486266]
[41783, 0.4178300000002771, 1.3436962314066265]
[41784, 0.4178400000002771, 1.3436552422836265]
[41785, 0.4178500000002771, 1.3436142521796266]
[41786, 0.4178600000002771, 1.3435732610946265]
[41787, 0.41787000000027713, 1.3435322690286264]
[41788, 0.41788000000027714, 1.3434912759816264]
[41789, 0.41789000000027715, 1.3434502819536265]
[41790, 0.41790000000027716, 1.3434092869446264]
[41791, 0.41791000000027717, 1.3433682909546263]
[41792, 0.4179200000002772, 1.3433272939836263]
[41793, 0.4179300000002772, 1.3432862960316263]
[41794, 0.4179400000002772, 1.3432452970986262]
[41795, 0.4179500000002772, 1.343204297184626]
[41796, 0.4179600000002772, 1.343163296289626]
[41797, 0.41797000000027723, 1.343122294413626]
[41798, 0.41798000000027724, 1.3430812915566261]
[41799, 0.41799000000027725, 1.343040287718626]
[41800, 0.41800000000027726, 1.342999282899626]
[41801, 0.41801000000027727, 1.342958277099626]
[41802, 0.4180200000002773, 1.342917270318626]
[41803, 0.4180300000002773, 1.342876262556626]
[41804, 0.4180400000002773, 1.342835253813626]
[41805, 0.4180500000002773, 1.3427942440896259]
[41806, 0.4180600000002773, 1.342753233384626]
[41807, 0.41807000000027733, 1.3427122216986258]
[41808, 0.41808000000027734, 1.3426712090316257]
[41809, 0.41809000000027735, 1.3426301953836257]
[41810, 0.41810000000027736, 1.3425891807546257]
[41811, 0.41811000000027737, 1.3425481651446258]
[41812, 0.4181200000002774, 1.3425071485536257]
[41813, 0.4181300000002774, 1.3424661309816257]
[41814, 0.4181400000002774, 1.3424251124286257]
[41815, 0.4181500000002774, 1.3423840928946258]
[41816, 0.4181600000002774, 1.3423430723796257]
[41817, 0.41817000000027743, 1.3423020508836256]
[41818, 0.41818000000027744, 1.3422610284066256]
[41819, 0.41819000000027745, 1.3422200049486257]
[41820, 0.41820000000027746, 1.3421789805096256]
[41821, 0.41821000000027747, 1.3421379550896255]
[41822, 0.4182200000002775, 1.3420969286886255]
[41823, 0.4182300000002775, 1.3420559013066256]
[41824, 0.4182400000002775, 1.3420148729436254]
[41825, 0.4182500000002775, 1.3419738435996253]
[41826, 0.4182600000002775, 1.3419328132746253]
[41827, 0.41827000000027753, 1.3418917819686254]
[41828, 0.41828000000027754, 1.3418507496816254]
[41829, 0.41829000000027755, 1.3418097164136253]
[41830, 0.41830000000027756, 1.3417686821646253]
[41831, 0.41831000000027757, 1.3417276469346253]
[41832, 0.4183200000002776, 1.3416866107236254]
[41833, 0.4183300000002776, 1.3416455735316253]
[41834, 0.4183400000002776, 1.3416045353586252]
[41835, 0.4183500000002776, 1.3415634962046252]
[41836, 0.4183600000002776, 1.3415224560696253]
[41837, 0.41837000000027763, 1.3414814149536252]
[41838, 0.41838000000027764, 1.341440372856625]
[41839, 0.41839000000027765, 1.341399329778625]
[41840, 0.41840000000027766, 1.3413582857196251]
[41841, 0.41841000000027767, 1.341317240679625]
[41842, 0.4184200000002777, 1.341276194658625]
[41843, 0.4184300000002777, 1.3412351476566249]
[41844, 0.4184400000002777, 1.341194099673625]
[41845, 0.4184500000002777, 1.341153050709625]
[41846, 0.4184600000002777, 1.341112000764625]
[41847, 0.41847000000027773, 1.3410709498386248]
[41848, 0.41848000000027774, 1.3410298979316249]
[41849, 0.41849000000027775, 1.340988845043625]
[41850, 0.41850000000027776, 1.3409477911746248]
[41851, 0.41851000000027777, 1.3409067363246248]
[41852, 0.4185200000002778, 1.3408656804936248]
[41853, 0.4185300000002778, 1.3408246236816248]
[41854, 0.4185400000002778, 1.3407835658886247]
[41855, 0.4185500000002778, 1.3407425071146246]
[41856, 0.4185600000002778, 1.3407014473596246]
[41857, 0.41857000000027783, 1.3406603866236246]
[41858, 0.41858000000027784, 1.3406193249066245]
[41859, 0.41859000000027785, 1.3405782622086244]
[41860, 0.41860000000027786, 1.3405371985296244]
[41861, 0.41861000000027787, 1.3404961338696244]
[41862, 0.4186200000002779, 1.3404550682286245]
[41863, 0.4186300000002779, 1.3404140016066244]
[41864, 0.4186400000002779, 1.3403729340036243]
[41865, 0.4186500000002779, 1.3403318654196243]
[41866, 0.4186600000002779, 1.3402907958546244]
[41867, 0.41867000000027793, 1.3402497253086243]
[41868, 0.41868000000027794, 1.3402086537816242]
[41869, 0.41869000000027795, 1.3401675812736242]
[41870, 0.41870000000027796, 1.3401265077846243]
[41871, 0.41871000000027797, 1.3400854333146242]
[41872, 0.418720000000278, 1.340044357863624]
[41873, 0.418730000000278, 1.340003281431624]
[41874, 0.418740000000278, 1.339962204018624]
[41875, 0.418750000000278, 1.339921125624624]
[41876, 0.418760000000278, 1.3398800462496239]
[41877, 0.41877000000027803, 1.3398389658936238]
[41878, 0.41878000000027804, 1.3397978845566239]
[41879, 0.41879000000027805, 1.339756802238624]
[41880, 0.41880000000027806, 1.3397157189396238]
[41881, 0.41881000000027807, 1.3396746346596238]
[41882, 0.4188200000002781, 1.3396335493986238]
[41883, 0.4188300000002781, 1.3395924631566238]
[41884, 0.4188400000002781, 1.3395513759336237]
[41885, 0.4188500000002781, 1.3395102877296237]
[41886, 0.4188600000002781, 1.3394691985446237]
[41887, 0.41887000000027813, 1.3394281083786237]
[41888, 0.41888000000027814, 1.3393870172316236]
[41889, 0.41889000000027815, 1.3393459251036235]
[41890, 0.41890000000027816, 1.3393048319946235]
[41891, 0.41891000000027817, 1.3392637379046235]
[41892, 0.4189200000002782, 1.3392226428336236]
[41893, 0.4189300000002782, 1.3391815467816235]
[41894, 0.4189400000002782, 1.3391404497486235]
[41895, 0.4189500000002782, 1.3390993517346235]
[41896, 0.4189600000002782, 1.3390582527396235]
[41897, 0.41897000000027823, 1.3390171527636234]
[41898, 0.41898000000027824, 1.3389760518066234]
[41899, 0.41899000000027825, 1.3389349498686234]
[41900, 0.41900000000027826, 1.3388938469496234]
[41901, 0.41901000000027827, 1.3388527430496233]
[41902, 0.4190200000002783, 1.3388116381686233]
[41903, 0.4190300000002783, 1.3387705323066232]
[41904, 0.4190400000002783, 1.3387294254636233]
[41905, 0.4190500000002783, 1.3386883176396231]
[41906, 0.4190600000002783, 1.338647208834623]
[41907, 0.41907000000027833, 1.338606099048623]
[41908, 0.41908000000027834, 1.338564988281623]
[41909, 0.41909000000027835, 1.3385238765336231]
[41910, 0.41910000000027836, 1.338482763804623]
[41911, 0.41911000000027837, 1.338441650094623]
[41912, 0.4191200000002784, 1.338400535403623]
[41913, 0.4191300000002784, 1.338359419731623]
[41914, 0.4191400000002784, 1.338318303078623]
[41915, 0.4191500000002784, 1.338277185444623]
[41916, 0.4191600000002784, 1.338236066829623]
[41917, 0.41917000000027843, 1.338194947233623]
[41918, 0.41918000000027844, 1.3381538266566229]
[41919, 0.41919000000027845, 1.3381127050986228]
[41920, 0.41920000000027846, 1.3380715825596228]
[41921, 0.41921000000027847, 1.3380304590396228]
[41922, 0.4192200000002785, 1.3379893345386227]
[41923, 0.4192300000002785, 1.3379482090566226]
[41924, 0.4192400000002785, 1.3379070825936226]
[41925, 0.4192500000002785, 1.3378659551496226]
[41926, 0.4192600000002785, 1.3378248267246227]
[41927, 0.41927000000027853, 1.3377836973186226]
[41928, 0.41928000000027854, 1.3377425669316225]
[41929, 0.41929000000027855, 1.3377014355636225]
[41930, 0.41930000000027856, 1.3376603032146226]
[41931, 0.41931000000027857, 1.3376191698846225]
[41932, 0.4193200000002786, 1.3375780355736224]
[41933, 0.4193300000002786, 1.3375369002816224]
[41934, 0.4193400000002786, 1.3374957640086225]
[41935, 0.4193500000002786, 1.3374546267546223]
[41936, 0.4193600000002786, 1.3374134885196223]
[41937, 0.41937000000027863, 1.3373723493036223]
[41938, 0.41938000000027864, 1.3373312091066223]
[41939, 0.41939000000027865, 1.3372900679286222]
[41940, 0.41940000000027866, 1.337248925769622]
[41941, 0.41941000000027867, 1.337207782629622]
[41942, 0.4194200000002787, 1.337166638508622]
[41943, 0.4194300000002787, 1.3371254934066221]
[41944, 0.4194400000002787, 1.337084347323622]
